x,y,z,rx,ry,rz,时间戳(秒)
400.0,-125.0,200.0,180.0,0.0,0.0,0.0
400.0,-124.75,200.0,180.0,0.0,0.0,0.01
400.0,-124.499,200.0,180.0,0.0,0.0,0.02
400.0,-124.249,200.0,180.0,0.0,0.0,0.03
400.0,-123.999,200.0,180.0,0.0,0.0,0.04
400.0,-123.749,200.0,180.0,0.0,0.0,0.05
400.0,-123.498,200.0,180.0,0.0,0.0,0.06
400.0,-123.248,200.0,180.0,0.0,0.0,0.07
400.0,-122.998,200.0,180.0,0.0,0.0,0.08
400.0,-122.748,200.0,180.0,0.0,0.0,0.09
400.0,-122.497,200.0,180.0,0.0,0.0,0.1
400.0,-122.247,200.0,180.0,0.0,0.0,0.11
400.0,-121.997,200.0,180.0,0.0,0.0,0.12
400.0,-121.747,200.0,180.0,0.0,0.0,0.13
400.0,-121.496,200.0,180.0,0.0,0.0,0.14
400.0,-121.246,200.0,180.0,0.0,0.0,0.15
400.0,-120.996,200.0,180.0,0.0,0.0,0.16
400.0,-120.746,200.0,180.0,0.0,0.0,0.17
400.0,-120.495,200.0,180.0,0.0,0.0,0.18
400.0,-120.245,200.0,180.0,0.0,0.0,0.19
400.0,-119.995,200.0,180.0,0.0,0.0,0.2
400.0,-119.745,200.0,180.0,0.0,0.0,0.21
400.0,-119.494,200.0,180.0,0.0,0.0,0.22
400.0,-119.244,200.0,180.0,0.0,0.0,0.23
400.0,-118.994,200.0,180.0,0.0,0.0,0.24
400.0,-118.744,200.0,180.0,0.0,0.0,0.25
400.0,-118.493,200.0,180.0,0.0,0.0,0.26
400.0,-118.243,200.0,180.0,0.0,0.0,0.27
400.0,-117.993,200.0,180.0,0.0,0.0,0.28
400.0,-117.743,200.0,180.0,0.0,0.0,0.29
400.0,-117.492,200.0,180.0,0.0,0.0,0.3
400.0,-117.242,200.0,180.0,0.0,0.0,0.31
400.0,-116.992,200.0,180.0,0.0,0.0,0.32
400.0,-116.742,200.0,180.0,0.0,0.0,0.33
400.0,-116.491,200.0,180.0,0.0,0.0,0.34
400.0,-116.241,200.0,180.0,0.0,0.0,0.35
