x,y,z,rx,ry,rz,时间戳(秒)
300.0,0.0,200.0,180.0,0.0,0.0,0.0
300.25,0.0,200.0,180.0,0.0,0.0,0.01
300.501,0.0,200.0,180.0,0.0,0.0,0.02
300.751,0.0,200.0,180.0,0.0,0.0,0.03
301.001,0.0,200.0,180.0,0.0,0.0,0.04
301.251,0.0,200.0,180.0,0.0,0.0,0.05
301.502,0.0,200.0,180.0,0.0,0.0,0.06
301.752,0.0,200.0,180.0,0.0,0.0,0.07
302.002,0.0,200.0,180.0,0.0,0.0,0.08
302.252,0.0,200.0,180.0,0.0,0.0,0.09
302.503,0.0,200.0,180.0,0.0,0.0,0.1
302.753,0.0,200.0,180.0,0.0,0.0,0.11
303.003,0.0,200.0,180.0,0.0,0.0,0.12
303.253,0.0,200.0,180.0,0.0,0.0,0.13
303.504,0.0,200.0,180.0,0.0,0.0,0.14
303.754,0.0,200.0,180.0,0.0,0.0,0.15
304.004,0.0,200.0,180.0,0.0,0.0,0.16
304.254,0.0,200.0,180.0,0.0,0.0,0.17
304.505,0.0,200.0,180.0,0.0,0.0,0.18
304.755,0.0,200.0,180.0,0.0,0.0,0.19
305.005,0.0,200.0,180.0,0.0,0.0,0.2
305.255,0.0,200.0,180.0,0.0,0.0,0.21
305.506,0.0,200.0,180.0,0.0,0.0,0.22
305.756,0.0,200.0,180.0,0.0,0.0,0.23
306.006,0.0,200.0,180.0,0.0,0.0,0.24
306.256,0.0,200.0,180.0,0.0,0.0,0.25
306.507,0.0,200.0,180.0,0.0,0.0,0.26
306.757,0.0,200.0,180.0,0.0,0.0,0.27
307.007,0.0,200.0,180.0,0.0,0.0,0.28
307.257,0.0,200.0,180.0,0.0,0.0,0.29
307.508,0.0,200.0,180.0,0.0,0.0,0.3
307.758,0.0,200.0,180.0,0.0,0.0,0.31
308.008,0.0,200.0,180.0,0.0,0.0,0.32
308.258,0.0,200.0,180.0,0.0,0.0,0.33
308.509,0.0,200.0,180.0,0.0,0.0,0.34
308.759,0.0,200.0,180.0,0.0,0.0,0.35
309.009,0.0,200.0,180.0,0.0,0.0,0.36
309.259,0.0,200.0,180.0,0.0,0.0,0.37
309.51,0.0,200.0,180.0,0.0,0.0,0.38
309.76,0.0,200.0,180.0,0.0,0.0,0.39
310.01,0.0,200.0,180.0,0.0,0.0,0.4
310.26,0.0,200.0,180.0,0.0,0.0,0.41
310.511,0.0,200.0,180.0,0.0,0.0,0.42
310.761,0.0,200.0,180.0,0.0,0.0,0.43
311.011,0.0,200.0,180.0,0.0,0.0,0.44
311.261,0.0,200.0,180.0,0.0,0.0,0.45
311.512,0.0,200.0,180.0,0.0,0.0,0.46
311.762,0.0,200.0,180.0,0.0,0.0,0.47
312.012,0.0,200.0,180.0,0.0,0.0,0.48
312.262,0.0,200.0,180.0,0.0,0.0,0.49
312.513,0.0,200.0,180.0,0.0,0.0,0.5
312.763,0.0,200.0,180.0,0.0,0.0,0.51
313.013,0.0,200.0,180.0,0.0,0.0,0.52
313.263,0.0,200.0,180.0,0.0,0.0,0.53
313.514,0.0,200.0,180.0,0.0,0.0,0.54
313.764,0.0,200.0,180.0,0.0,0.0,0.55
314.014,0.0,200.0,180.0,0.0,0.0,0.56
314.264,0.0,200.0,180.0,0.0,0.0,0.57
314.515,0.0,200.0,180.0,0.0,0.0,0.58
314.765,0.0,200.0,180.0,0.0,0.0,0.59
315.015,0.0,200.0,180.0,0.0,0.0,0.6
315.265,0.0,200.0,180.0,0.0,0.0,0.61
315.516,0.0,200.0,180.0,0.0,0.0,0.62
315.766,0.0,200.0,180.0,0.0,0.0,0.63
316.016,0.0,200.0,180.0,0.0,0.0,0.64
316.266,0.0,200.0,180.0,0.0,0.0,0.65
316.517,0.0,200.0,180.0,0.0,0.0,0.66
316.767,0.0,200.0,180.0,0.0,0.0,0.67
317.017,0.0,200.0,180.0,0.0,0.0,0.68
317.267,0.0,200.0,180.0,0.0,0.0,0.69
317.518,0.0,200.0,180.0,0.0,0.0,0.7
317.768,0.0,200.0,180.0,0.0,0.0,0.71
318.018,0.0,200.0,180.0,0.0,0.0,0.72
318.268,0.0,200.0,180.0,0.0,0.0,0.73
318.519,0.0,200.0,180.0,0.0,0.0,0.74
318.769,0.0,200.0,180.0,0.0,0.0,0.75
319.019,0.0,200.0,180.0,0.0,0.0,0.76
319.269,0.0,200.0,180.0,0.0,0.0,0.77
319.52,0.0,200.0,180.0,0.0,0.0,0.78
319.77,0.0,200.0,180.0,0.0,0.0,0.79
320.02,0.0,200.0,180.0,0.0,0.0,0.8
320.27,0.0,200.0,180.0,0.0,0.0,0.81
320.521,0.0,200.0,180.0,0.0,0.0,0.82
320.771,0.0,200.0,180.0,0.0,0.0,0.83
321.021,0.0,200.0,180.0,0.0,0.0,0.84
321.271,0.0,200.0,180.0,0.0,0.0,0.85
321.522,0.0,200.0,180.0,0.0,0.0,0.86
321.772,0.0,200.0,180.0,0.0,0.0,0.87
322.022,0.0,200.0,180.0,0.0,0.0,0.88
322.272,0.0,200.0,180.0,0.0,0.0,0.89
322.523,0.0,200.0,180.0,0.0,0.0,0.9
322.773,0.0,200.0,180.0,0.0,0.0,0.91
323.023,0.0,200.0,180.0,0.0,0.0,0.92
323.273,0.0,200.0,180.0,0.0,0.0,0.93
323.524,0.0,200.0,180.0,0.0,0.0,0.94
323.774,0.0,200.0,180.0,0.0,0.0,0.95
324.024,0.0,200.0,180.0,0.0,0.0,0.96
324.274,0.0,200.0,180.0,0.0,0.0,0.97
324.525,0.0,200.0,180.0,0.0,0.0,0.98
324.775,0.0,200.0,180.0,0.0,0.0,0.99
325.025,0.0,200.0,180.0,0.0,0.0,1.0
325.275,0.0,200.0,180.0,0.0,0.0,1.01
325.526,0.0,200.0,180.0,0.0,0.0,1.02
325.776,0.0,200.0,180.0,0.0,0.0,1.03
326.026,0.0,200.0,180.0,0.0,0.0,1.04
326.276,0.0,200.0,180.0,0.0,0.0,1.05
326.527,0.0,200.0,180.0,0.0,0.0,1.06
326.777,0.0,200.0,180.0,0.0,0.0,1.07
327.027,0.0,200.0,180.0,0.0,0.0,1.08
327.277,0.0,200.0,180.0,0.0,0.0,1.09
327.528,0.0,200.0,180.0,0.0,0.0,1.1
327.778,0.0,200.0,180.0,0.0,0.0,1.11
328.028,0.0,200.0,180.0,0.0,0.0,1.12
328.278,0.0,200.0,180.0,0.0,0.0,1.13
328.529,0.0,200.0,180.0,0.0,0.0,1.14
328.779,0.0,200.0,180.0,0.0,0.0,1.15
329.029,0.0,200.0,180.0,0.0,0.0,1.16
329.279,0.0,200.0,180.0,0.0,0.0,1.17
329.53,0.0,200.0,180.0,0.0,0.0,1.18
329.78,0.0,200.0,180.0,0.0,0.0,1.19
330.03,0.0,200.0,180.0,0.0,0.0,1.2
330.28,0.0,200.0,180.0,0.0,0.0,1.21
330.531,0.0,200.0,180.0,0.0,0.0,1.22
330.781,0.0,200.0,180.0,0.0,0.0,1.23
331.031,0.0,200.0,180.0,0.0,0.0,1.24
331.281,0.0,200.0,180.0,0.0,0.0,1.25
331.532,0.0,200.0,180.0,0.0,0.0,1.26
331.782,0.0,200.0,180.0,0.0,0.0,1.27
332.032,0.0,200.0,180.0,0.0,0.0,1.28
332.282,0.0,200.0,180.0,0.0,0.0,1.29
332.533,0.0,200.0,180.0,0.0,0.0,1.3
332.783,0.0,200.0,180.0,0.0,0.0,1.31
333.033,0.0,200.0,180.0,0.0,0.0,1.32
333.283,0.0,200.0,180.0,0.0,0.0,1.33
333.534,0.0,200.0,180.0,0.0,0.0,1.34
333.784,0.0,200.0,180.0,0.0,0.0,1.35
334.034,0.0,200.0,180.0,0.0,0.0,1.36
334.284,0.0,200.0,180.0,0.0,0.0,1.37
334.535,0.0,200.0,180.0,0.0,0.0,1.38
334.785,0.0,200.0,180.0,0.0,0.0,1.39
335.035,0.0,200.0,180.0,0.0,0.0,1.4
335.285,0.0,200.0,180.0,0.0,0.0,1.41
335.536,0.0,200.0,180.0,0.0,0.0,1.42
335.786,0.0,200.0,180.0,0.0,0.0,1.43
336.036,0.0,200.0,180.0,0.0,0.0,1.44
336.286,0.0,200.0,180.0,0.0,0.0,1.45
336.537,0.0,200.0,180.0,0.0,0.0,1.46
336.787,0.0,200.0,180.0,0.0,0.0,1.47
337.037,0.0,200.0,180.0,0.0,0.0,1.48
337.287,0.0,200.0,180.0,0.0,0.0,1.49
337.538,0.0,200.0,180.0,0.0,0.0,1.5
337.788,0.0,200.0,180.0,0.0,0.0,1.51
338.038,0.0,200.0,180.0,0.0,0.0,1.52
338.288,0.0,200.0,180.0,0.0,0.0,1.53
338.539,0.0,200.0,180.0,0.0,0.0,1.54
338.789,0.0,200.0,180.0,0.0,0.0,1.55
339.039,0.0,200.0,180.0,0.0,0.0,1.56
339.289,0.0,200.0,180.0,0.0,0.0,1.57
339.54,0.0,200.0,180.0,0.0,0.0,1.58
339.79,0.0,200.0,180.0,0.0,0.0,1.59
340.04,0.0,200.0,180.0,0.0,0.0,1.6
340.29,0.0,200.0,180.0,0.0,0.0,1.61
340.541,0.0,200.0,180.0,0.0,0.0,1.62
340.791,0.0,200.0,180.0,0.0,0.0,1.63
341.041,0.0,200.0,180.0,0.0,0.0,1.64
341.291,0.0,200.0,180.0,0.0,0.0,1.65
341.542,0.0,200.0,180.0,0.0,0.0,1.66
341.792,0.0,200.0,180.0,0.0,0.0,1.67
342.042,0.0,200.0,180.0,0.0,0.0,1.68
342.292,0.0,200.0,180.0,0.0,0.0,1.69
342.543,0.0,200.0,180.0,0.0,0.0,1.7
342.793,0.0,200.0,180.0,0.0,0.0,1.71
343.043,0.0,200.0,180.0,0.0,0.0,1.72
343.293,0.0,200.0,180.0,0.0,0.0,1.73
343.544,0.0,200.0,180.0,0.0,0.0,1.74
343.794,0.0,200.0,180.0,0.0,0.0,1.75
344.044,0.0,200.0,180.0,0.0,0.0,1.76
344.294,0.0,200.0,180.0,0.0,0.0,1.77
344.545,0.0,200.0,180.0,0.0,0.0,1.78
344.795,0.0,200.0,180.0,0.0,0.0,1.79
345.045,0.0,200.0,180.0,0.0,0.0,1.8
345.295,0.0,200.0,180.0,0.0,0.0,1.81
345.546,0.0,200.0,180.0,0.0,0.0,1.82
345.796,0.0,200.0,180.0,0.0,0.0,1.83
346.046,0.0,200.0,180.0,0.0,0.0,1.84
346.296,0.0,200.0,180.0,0.0,0.0,1.85
346.547,0.0,200.0,180.0,0.0,0.0,1.86
346.797,0.0,200.0,180.0,0.0,0.0,1.87
347.047,0.0,200.0,180.0,0.0,0.0,1.88
347.297,0.0,200.0,180.0,0.0,0.0,1.89
347.548,0.0,200.0,180.0,0.0,0.0,1.9
347.798,0.0,200.0,180.0,0.0,0.0,1.91
348.048,0.0,200.0,180.0,0.0,0.0,1.92
348.298,0.0,200.0,180.0,0.0,0.0,1.93
348.549,0.0,200.0,180.0,0.0,0.0,1.94
348.799,0.0,200.0,180.0,0.0,0.0,1.95
349.049,0.0,200.0,180.0,0.0,0.0,1.96
349.299,0.0,200.0,180.0,0.0,0.0,1.97
349.55,0.0,200.0,180.0,0.0,0.0,1.98
