帧号,标记ID,X坐标原始(mm),Y坐标原始(mm),X坐标滤波(mm),Y坐标滤波(mm),时间戳(秒)
1,0,201.993,-0.518,200.0,0.0,0.0
2,0,202.422,-0.231,201.667,0.0,0.0167
3,0,203.978,5.693,203.333,0.0,0.0333
4,0,200.637,-1.912,205.0,0.0,0.05
5,0,207.063,-4.242,206.667,0.0,0.0667
6,0,211.413,-0.491,208.333,0.0,0.0833
7,0,212.695,-0.908,210.0,0.0,0.1
8,0,212.77,0.251,211.667,0.0,0.1167
9,0,213.376,4.213,213.333,0.0,0.1333
10,0,215.112,3.005,215.0,0.0,0.15
11,0,213.342,-1.855,216.667,0.0,0.1667
12,0,222.224,-2.294,218.333,0.0,0.1833
13,0,220.642,-2.43,220.0,0.0,0.2
14,0,223.561,-1.003,221.667,0.0,0.2167
15,0,225.139,0.15,223.333,0.0,0.2333
16,0,227.848,-0.695,225.0,0.0,0.25
17,0,224.415,0.966,226.667,0.0,0.2667
18,0,227.843,-0.919,228.333,0.0,0.2833
19,0,227.501,-0.481,230.0,0.0,0.3
20,0,232.112,-3.179,231.667,0.0,0.3167
21,0,236.801,2.781,233.333,0.0,0.3333
22,0,234.006,-0.928,235.0,0.0,0.35
23,0,235.338,-1.246,236.667,0.0,0.3667
24,0,236.968,1.112,238.333,0.0,0.3833
25,0,240.933,0.669,240.0,0.0,0.4
26,0,242.33,0.597,241.667,0.0,0.4167
27,0,243.526,0.718,243.333,0.0,0.4333
28,0,246.485,-0.112,245.0,0.0,0.45
29,0,246.841,0.156,246.667,0.0,0.4667
30,0,246.093,0.0,248.333,0.0,0.4833
31,0,248.604,1.069,250.0,0.0,0.5
32,0,251.505,2.393,251.667,0.0,0.5167
33,0,255.188,-3.433,253.333,0.0,0.5333
34,0,255.64,0.662,255.0,0.0,0.55
35,0,256.911,-4.064,256.667,0.0,0.5667
36,0,259.948,-0.989,258.333,0.0,0.5833
37,0,262.434,1.457,260.0,0.0,0.6
38,0,261.388,-0.555,261.667,0.0,0.6167
39,0,261.272,1.265,263.333,0.0,0.6333
40,0,266.069,-1.134,265.0,0.0,0.65
41,0,268.795,2.876,266.667,0.0,0.6667
42,0,266.006,-1.188,268.333,0.0,0.6833
43,0,271.21,-1.396,270.0,0.0,0.7
44,0,269.419,-0.304,271.667,0.0,0.7167
45,0,272.697,-1.429,273.333,0.0,0.7333
46,0,272.36,1.934,275.0,0.0,0.75
47,0,275.372,-1.121,276.667,0.0,0.7667
48,0,278.535,3.379,278.333,0.0,0.7833
49,0,281.346,0.174,280.0,0.0,0.8
50,0,281.714,-2.347,281.667,0.0,0.8167
51,0,283.07,-0.227,283.333,0.0,0.8333
52,0,285.649,0.704,285.0,0.0,0.85
53,0,287.85,-1.306,286.667,0.0,0.8667
54,0,288.626,-1.861,288.333,0.0,0.8833
55,0,289.794,1.88,290.0,0.0,0.9
56,0,294.221,0.59,291.667,0.0,0.9167
57,0,290.653,-1.221,293.333,0.0,0.9333
58,0,293.659,-0.147,295.0,0.0,0.95
59,0,297.91,-0.688,296.667,0.0,0.9667
60,0,300.77,4.748,298.333,0.0,0.9833
61,0,299.15,1.552,300.0,0.0,1.0
62,0,303.116,0.051,301.667,0.0,1.0167
63,0,304.77,1.163,303.333,0.0,1.0333
64,0,304.61,-1.838,305.0,0.0,1.05
65,0,309.025,1.781,306.667,0.0,1.0667
66,0,310.895,1.224,308.333,0.0,1.0833
67,0,310.017,-1.925,310.0,0.0,1.1
68,0,308.176,0.408,311.667,0.0,1.1167
69,0,315.96,1.64,313.333,0.0,1.1333
70,0,316.978,3.927,315.0,0.0,1.15
71,0,316.761,3.916,316.667,0.0,1.1667
72,0,318.701,-1.553,318.333,0.0,1.1833
73,0,315.806,2.299,320.0,0.0,1.2
74,0,320.082,1.406,321.667,0.0,1.2167
75,0,319.212,-5.614,323.333,0.0,1.2333
76,0,326.463,-0.155,325.0,0.0,1.25
77,0,321.933,4.665,326.667,0.0,1.2667
78,0,328.788,-1.071,328.333,0.0,1.2833
79,0,332.343,3.947,330.0,0.0,1.3
80,0,332.354,0.268,331.667,0.0,1.3167
81,0,334.215,-2.338,333.333,0.0,1.3333
82,0,331.985,-0.831,335.0,0.0,1.35
83,0,336.721,0.204,336.667,0.0,1.3667
84,0,339.124,1.209,338.333,0.0,1.3833
85,0,339.516,-0.708,340.0,0.0,1.4
86,0,341.365,0.064,341.667,0.0,1.4167
87,0,346.461,-0.954,343.333,0.0,1.4333
88,0,347.5,-1.791,345.0,0.0,1.45
89,0,349.159,-0.621,346.667,0.0,1.4667
90,0,349.703,-5.456,348.333,0.0,1.4833
91,0,348.444,3.525,350.0,0.0,1.5
92,0,352.091,1.081,351.667,0.0,1.5167
93,0,352.982,-0.683,353.333,0.0,1.5333
94,0,354.526,-3.119,355.0,0.0,1.55
95,0,357.289,-1.708,356.667,0.0,1.5667
96,0,357.626,2.217,358.333,0.0,1.5833
97,0,360.703,0.915,360.0,0.0,1.6
98,0,364.517,-4.566,361.667,0.0,1.6167
99,0,361.735,-2.715,363.333,0.0,1.6333
100,0,361.894,-1.43,365.0,0.0,1.65
101,0,366.753,-3.423,366.667,0.0,1.6667
102,0,370.715,-4.24,368.333,0.0,1.6833
103,0,370.542,3.352,370.0,0.0,1.7
104,0,368.719,2.715,371.667,0.0,1.7167
105,0,370.827,1.113,373.333,0.0,1.7333
106,0,375.57,-3.536,375.0,0.0,1.75
107,0,375.73,2.967,376.667,0.0,1.7667
